Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21565300k free), swap 35582860k(14120676k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:36:18.351+0800: 29.054: [GC (Allocation Failure) 2021-01-22T21:36:18.351+0800: 29.054: [DefNew: 139811K->41K(157248K), 0.0018548 secs] 168816K->29045K(506816K), 0.0018958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:18.900+0800: 29.602: [GC (Allocation Failure) 2021-01-22T21:36:18.900+0800: 29.602: [DefNew: 139817K->51K(157248K), 0.0015244 secs] 168821K->29056K(506816K), 0.0015666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:19.440+0800: 30.142: [GC (Allocation Failure) 2021-01-22T21:36:19.440+0800: 30.142: [DefNew: 139827K->40K(157248K), 0.0015056 secs] 168832K->29045K(506816K), 0.0015486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:19.973+0800: 30.676: [GC (Allocation Failure) 2021-01-22T21:36:19.973+0800: 30.676: [DefNew: 139816K->40K(157248K), 0.0015528 secs] 168821K->29045K(506816K), 0.0015988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:20.511+0800: 31.213: [GC (Allocation Failure) 2021-01-22T21:36:20.511+0800: 31.213: [DefNew: 139816K->39K(157248K), 0.0015067 secs] 168821K->29044K(506816K), 0.0015529 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:21.034+0800: 31.737: [GC (Allocation Failure) 2021-01-22T21:36:21.034+0800: 31.737: [DefNew: 139815K->51K(157248K), 0.0018745 secs] 168820K->29056K(506816K), 0.0019090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:21.583+0800: 32.285: [GC (Allocation Failure) 2021-01-22T21:36:21.583+0800: 32.285: [DefNew: 139827K->76K(157248K), 0.0014036 secs] 168832K->29081K(506816K), 0.0014440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:22.128+0800: 32.831: [GC (Allocation Failure) 2021-01-22T21:36:22.128+0800: 32.831: [DefNew: 139852K->40K(157248K), 0.0013230 secs] 168857K->29045K(506816K), 0.0013596 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:22.664+0800: 33.366: [GC (Allocation Failure) 2021-01-22T21:36:22.664+0800: 33.366: [DefNew: 139816K->41K(157248K), 0.0018588 secs] 168821K->29046K(506816K), 0.0018956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:23.203+0800: 33.906: [GC (Allocation Failure) 2021-01-22T21:36:23.203+0800: 33.906: [DefNew: 139817K->56K(157248K), 0.0014565 secs] 168822K->29061K(506816K), 0.0014946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:23.746+0800: 34.449: [GC (Allocation Failure) 2021-01-22T21:36:23.746+0800: 34.449: [DefNew: 139832K->53K(157248K), 0.0018360 secs] 168837K->29058K(506816K), 0.0018734 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:24.284+0800: 34.986: [GC (Allocation Failure) 2021-01-22T21:36:24.284+0800: 34.986: [DefNew: 139829K->57K(157248K), 0.0018214 secs] 168834K->29062K(506816K), 0.0018718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:24.836+0800: 35.539: [GC (Allocation Failure) 2021-01-22T21:36:24.836+0800: 35.539: [DefNew: 139833K->42K(157248K), 0.0014166 secs] 168838K->29047K(506816K), 0.0014627 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:25.355+0800: 36.057: [GC (Allocation Failure) 2021-01-22T21:36:25.355+0800: 36.057: [DefNew: 139818K->54K(157248K), 0.0013476 secs] 168823K->29059K(506816K), 0.0013838 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:25.896+0800: 36.599: [GC (Allocation Failure) 2021-01-22T21:36:25.896+0800: 36.599: [DefNew: 139830K->56K(157248K), 0.0015863 secs] 168835K->29061K(506816K), 0.0016222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:26.439+0800: 37.141: [GC (Allocation Failure) 2021-01-22T21:36:26.439+0800: 37.141: [DefNew: 139826K->65K(157248K), 0.0017119 secs] 168831K->29070K(506816K), 0.0017564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:26.984+0800: 37.687: [GC (Allocation Failure) 2021-01-22T21:36:26.984+0800: 37.687: [DefNew: 139841K->54K(157248K), 0.0014397 secs] 168846K->29059K(506816K), 0.0014759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:27.530+0800: 38.232: [GC (Allocation Failure) 2021-01-22T21:36:27.530+0800: 38.232: [DefNew: 139830K->55K(157248K), 0.0015518 secs] 168835K->29060K(506816K), 0.0015983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:28.072+0800: 38.775: [GC (Allocation Failure) 2021-01-22T21:36:28.072+0800: 38.775: [DefNew: 139831K->45K(157248K), 0.0019547 secs] 168836K->29050K(506816K), 0.0019970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:28.601+0800: 39.304: [GC (Allocation Failure) 2021-01-22T21:36:28.601+0800: 39.304: [DefNew: 139821K->41K(157248K), 0.0013670 secs] 168826K->29046K(506816K), 0.0014012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:29.136+0800: 39.838: [GC (Allocation Failure) 2021-01-22T21:36:29.136+0800: 39.838: [DefNew: 139817K->66K(157248K), 0.0013792 secs] 168822K->29073K(506816K), 0.0014187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:29.665+0800: 40.368: [GC (Allocation Failure) 2021-01-22T21:36:29.665+0800: 40.368: [DefNew: 139842K->40K(157248K), 0.0018801 secs] 168849K->29047K(506816K), 0.0019194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:30.215+0800: 40.917: [GC (Allocation Failure) 2021-01-22T21:36:30.215+0800: 40.917: [DefNew: 139816K->53K(157248K), 0.0014733 secs] 168823K->29060K(506816K), 0.0015188 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:30.751+0800: 41.453: [GC (Allocation Failure) 2021-01-22T21:36:30.751+0800: 41.453: [DefNew: 139829K->53K(157248K), 0.0017703 secs] 168836K->29060K(506816K), 0.0018194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:31.282+0800: 41.985: [GC (Allocation Failure) 2021-01-22T21:36:31.282+0800: 41.985: [DefNew: 139829K->51K(157248K), 0.0016036 secs] 168836K->29058K(506816K), 0.0016466 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:31.819+0800: 42.522: [GC (Allocation Failure) 2021-01-22T21:36:31.819+0800: 42.522: [DefNew: 139827K->52K(157248K), 0.0013468 secs] 168834K->29059K(506816K), 0.0013813 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:32.377+0800: 43.080: [GC (Allocation Failure) 2021-01-22T21:36:32.377+0800: 43.080: [DefNew: 139828K->38K(157248K), 0.0017924 secs] 168835K->29045K(506816K), 0.0019119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:32.930+0800: 43.633: [GC (Allocation Failure) 2021-01-22T21:36:32.930+0800: 43.633: [DefNew: 139814K->38K(157248K), 0.0017350 secs] 168821K->29045K(506816K), 0.0017769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:33.461+0800: 44.163: [GC (Allocation Failure) 2021-01-22T21:36:33.461+0800: 44.163: [DefNew: 139814K->39K(157248K), 0.0016731 secs] 168821K->29046K(506816K), 0.0017149 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:34.000+0800: 44.702: [GC (Allocation Failure) 2021-01-22T21:36:34.000+0800: 44.702: [DefNew: 139815K->48K(157248K), 0.0015501 secs] 168822K->29055K(506816K), 0.0015933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:34.522+0800: 45.225: [GC (Allocation Failure) 2021-01-22T21:36:34.522+0800: 45.225: [DefNew: 139824K->49K(157248K), 0.0015364 secs] 168831K->29056K(506816K), 0.0015735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
